"year","carrier_name","arrival","delay","cancelled","diverted","arrival_delay","carrier_delay","wthr_delay","ns_delay","sec_delay","lt_air_delay","on_time"
2005,"Delta Air Lines Inc.",129277,27763,3461,216,1408407,0.268738368951589,0.0272002340232617,0.396221404750189,0.000809425116461364,0.307030567158499,0.804376637194572
2005,"ExpressJet Airlines Inc.",75077,14497,1367,174,763962,0.189051287891283,0.0560211109976674,0.365921341637411,0.00218466363510227,0.386821595838536,0.823980683751303
2005,"SkyWest Airlines Inc.",93381,14785,1919,173,775017,0.477598555902645,0.0745119139322105,0.262574885454125,0.00221543527432301,0.183099209436696,0.846931741914419
2006,"American Airlines Inc.",138735,32055,2378,469,1859836,0.248923023320336,0.0535708524837674,0.329545185704546,0.00376646112883071,0.36419447736252,0.798994453947027
2006,"American Eagle Airlines Inc.",96182,22565,3246,283,1224196,0.280931321455061,0.0604364007070763,0.204856085136694,0.000606112093161553,0.453170080608007,0.786597533448919
2006,"Delta Air Lines Inc.",131332,28843,2134,230,1411485,0.266148772392197,0.02373457741315,0.394619850724591,0.00136381187189379,0.314132987598168,0.808003002356358
2006,"ExpressJet Airlines Inc.",82776,19621,1752,314,1137663,0.180416344734776,0.0558583693062005,0.358034848632679,0.00523353576586388,0.40045690156048,0.792395393584331
2006,"SkyWest Airlines Inc.",98219,20544,2255,100,1106528,0.421265435669048,0.0329472006130889,0.220131799647185,0.00277082911593742,0.322884734954741,0.810936442147327
2007,"American Airlines Inc.",156253,44642,5514,444,2757109,0.221765624790315,0.0678623877402018,0.34003516001725,0.000546949721610571,0.369789877730623,0.755381841210908
2007,"American Eagle Airlines Inc.",115235,31901,5190,268,1903817,0.220095208730671,0.0523064979459685,0.297955108080241,0.000141295092963242,0.429501890150156,0.755173860046922
2007,"Delta Air Lines Inc.",129793,27896,1456,405,1446279,0.283381698828511,0.0230142316938848,0.380965913215915,0.00077232677789002,0.311865829483799,0.813494202444375
2007,"ExpressJet Airlines Inc.",103767,25570,3396,389,1735572,0.160038304374581,0.0379229441359967,0.457202006024527,0.00163231487947489,0.343204430585421,0.779487988461712
2007,"SkyWest Airlines Inc.",124798,25630,2878,119,1323892,0.382410347671864,0.0380605064461452,0.184959196067353,0.00306218332008955,0.391507766494548,0.813413720058661
2008,"American Airlines Inc.",125654,32744,3347,425,1857097,0.306759959226686,0.0451591920077411,0.297419574744884,0.00110710426003596,0.349554169760653,0.774828883270642
2008,"American Eagle Airlines Inc.",111895,27076,4888,277,1663895,0.236060568725791,0.062452258105229,0.297917236364073,0.000237394787531665,0.403332542017375,0.776315424321474
2008,"Delta Air Lines Inc.",105652,23254,2062,278,1184939,0.259291828524506,0.029881706990824,0.401366652629376,0.000164565433326104,0.309295246421968,0.80499215214178
